date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:28	989/989	---M--	200	added ('OK')	image/png	etag:%223dd-67e2872b-f4684a3c07aa47c5;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/09.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/09.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:28	1294/1294	---M--	200	added ('OK')	image/png	etag:%2250e-67e2872b-7a250c8a4f487304;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/08.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/08.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:29	33952/33952	---M--	200	added ('OK')	image/png	etag:%2284a0-67e2872b-136e5a477800ee11;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/11.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/11.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:29	11773/11773	---M--	200	added ('OK')	image/png	etag:%222dfd-67e2872b-91b17d2968c3c9b8;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/10.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/10.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:29	20164/20164	---M--	200	added ('OK')	image/png	etag:%224ec4-67e2872b-fcc4040c42fb1353;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/12.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/12.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:30	6875/6875	---M--	200	added ('OK')	image/png	etag:%221adb-67e2872b-6af286ec92f263c2;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/12.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/12.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:30	31989/31989	---M--	200	added ('OK')	image/png	etag:%227cf5-67e2872b-513d8219629f1b79;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/13.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/13.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:30	11867/11867	---M--	200	added ('OK')	image/png	etag:%222e5b-67e2872b-1022d62d3a1372dd;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/13.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/light/13.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:30	3992/3992	---M--	200	added ('OK')	image/png	etag:%22f98-67e2872b-68cbbf7fefce5529;;;%22	https://templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/10.png	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/images/settings/dark/10.png	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
09:41:31	413802/413802	---M-Z	200	added ('OK')	application/x-javascript	etag:%226506a-67e2872b-1238309cf7f31ce6;gz%22	https://templates.iqonic.design/hope-ui/html/dist/assets/js/core/libs.min.js	C:/Users/IT_ASP/Desktop/Template/ERP/templates.iqonic.design/hope-ui/html/dist/assets/js/core/libs.min.js	(from https://templates.iqonic.design/hope-ui/html/dist/dashboard/index.html)
